,grade,term,home_ownership,emp_length,safe_loans
42161,C, 60 months,MORTGAGE,10+ years,1
42162,C, 60 months,MORTGAGE,10+ years,1
42163,A, 36 months,MORTGAGE,3 years,-1
42164,E, 60 months,OWN,3 years,1
42165,B, 36 months,RENT,8 years,-1
42166,C, 36 months,OWN,< 1 year,-1
42167,C, 36 months,MORTGAGE,10+ years,-1
42168,C, 36 months,MORTGAGE,3 years,1
42169,E, 60 months,MORTGAGE,10+ years,-1
42170,F, 36 months,RENT,10+ years,1
42171,B, 36 months,RENT,5 years,-1
42172,C, 36 months,RENT,5 years,-1
42173,C, 36 months,MORTGAGE,,-1
42174,C, 36 months,OWN,< 1 year,-1
42175,D, 36 months,RENT,10+ years,-1
42176,E, 36 months,MORTGAGE,10+ years,1
42177,C, 36 months,RENT,2 years,1
42178,B, 36 months,RENT,< 1 year,-1
42179,B, 60 months,MORTGAGE,10+ years,1
42180,B, 36 months,RENT,8 years,-1
42181,A, 36 months,RENT,2 years,1
42182,C, 60 months,OWN,10+ years,-1
42183,C, 36 months,RENT,10+ years,1
42184,B, 36 months,RENT,,1
42185,A, 36 months,MORTGAGE,,1
42186,D, 36 months,MORTGAGE,10+ years,-1
42187,C, 36 months,OWN,< 1 year,1
42188,C, 36 months,RENT,10+ years,-1
42189,A, 36 months,MORTGAGE,10+ years,1
42190,E, 60 months,MORTGAGE,5 years,-1
42191,A, 36 months,OWN,10+ years,-1
42192,D, 36 months,RENT,5 years,-1
42193,B, 60 months,MORTGAGE,10+ years,-1
42194,C, 60 months,RENT,5 years,1
42195,E, 36 months,RENT,2 years,-1
42196,B, 36 months,MORTGAGE,1 year,1
42197,B, 36 months,RENT,6 years,-1
42198,B, 36 months,MORTGAGE,,1
42199,A, 36 months,OWN,10+ years,1
42200,B, 36 months,RENT,1 year,-1
42201,C, 36 months,OWN,7 years,1
42202,C, 36 months,OWN,4 years,-1
42203,E, 36 months,RENT,< 1 year,1
42204,B, 36 months,MORTGAGE,9 years,1
42205,B, 36 months,RENT,4 years,1
42206,D, 60 months,MORTGAGE,10+ years,1
42207,D, 36 months,RENT,6 years,-1
42208,B, 36 months,MORTGAGE,2 years,-1
42209,B, 36 months,MORTGAGE,1 year,-1
42210,C, 36 months,RENT,1 year,-1
42211,A, 36 months,RENT,7 years,-1
42212,E, 60 months,RENT,3 years,1
42213,C, 36 months,RENT,< 1 year,-1
42214,C, 36 months,MORTGAGE,2 years,-1
42215,E, 60 months,RENT,10+ years,-1
42216,B, 36 months,MORTGAGE,2 years,1
42217,D, 60 months,MORTGAGE,10+ years,-1
42218,C, 36 months,MORTGAGE,8 years,-1
42219,C, 36 months,RENT,3 years,1
42220,A, 36 months,RENT,< 1 year,1
42221,B, 36 months,MORTGAGE,2 years,-1
42222,B, 36 months,RENT,< 1 year,1
42223,A, 36 months,MORTGAGE,10+ years,1
42224,D, 36 months,MORTGAGE,7 years,-1
42225,C, 60 months,MORTGAGE,7 years,1
42226,D, 36 months,MORTGAGE,6 years,-1
42227,C, 60 months,RENT,10+ years,1
42228,B, 36 months,MORTGAGE,8 years,-1
42229,B, 36 months,RENT,3 years,1
42230,C, 36 months,MORTGAGE,10+ years,-1
42231,D, 60 months,MORTGAGE,10+ years,1
42232,C, 36 months,MORTGAGE,4 years,-1
42233,D, 60 months,MORTGAGE,1 year,1
42234,G, 60 months,RENT,2 years,1
42235,C, 36 months,RENT,1 year,1
42236,E, 60 months,MORTGAGE,7 years,1
42237,C, 36 months,MORTGAGE,2 years,1
42238,C, 36 months,RENT,4 years,-1
42239,B, 36 months,RENT,5 years,1
42240,B, 36 months,MORTGAGE,10+ years,-1
42241,D, 36 months,MORTGAGE,10+ years,1
42242,D, 60 months,OWN,10+ years,-1
42243,B, 36 months,RENT,< 1 year,-1
42244,E, 36 months,MORTGAGE,10+ years,1
42245,C, 36 months,RENT,10+ years,1
42246,B, 60 months,RENT,3 years,-1
42247,C, 36 months,MORTGAGE,10+ years,-1
42248,B, 36 months,RENT,10+ years,-1
42249,A, 36 months,MORTGAGE,1 year,1
42250,D, 36 months,RENT,2 years,-1
42251,D, 60 months,RENT,10+ years,1
42252,B, 36 months,OWN,8 years,1
42253,D, 36 months,MORTGAGE,10+ years,-1
42254,F, 60 months,OWN,1 year,-1
42255,B, 36 months,RENT,2 years,1
42256,B, 36 months,MORTGAGE,10+ years,1
42257,A, 36 months,MORTGAGE,< 1 year,-1
42258,A, 36 months,RENT,2 years,1
42259,B, 36 months,RENT,< 1 year,1
42260,C, 36 months,RENT,< 1 year,1
42261,B, 36 months,RENT,8 years,-1
42262,D, 36 months,RENT,2 years,-1
42263,A, 36 months,MORTGAGE,10+ years,1
42264,B, 36 months,MORTGAGE,7 years,1
42265,B, 36 months,RENT,4 years,-1
42266,D, 36 months,OWN,10+ years,-1
42267,B, 36 months,RENT,10+ years,-1
42268,C, 36 months,RENT,7 years,-1
42269,B, 36 months,MORTGAGE,,1
42270,D, 36 months,RENT,8 years,1
42271,E, 60 months,RENT,6 years,1
42272,A, 36 months,MORTGAGE,2 years,1
42273,A, 36 months,MORTGAGE,1 year,1
42274,A, 36 months,RENT,4 years,-1
42275,E, 36 months,RENT,5 years,-1
42276,E, 60 months,RENT,4 years,-1
42277,D, 60 months,OWN,7 years,-1
42278,D, 36 months,RENT,4 years,1
42279,B, 60 months,MORTGAGE,7 years,1
42280,D, 60 months,MORTGAGE,10+ years,-1
42281,C, 36 months,MORTGAGE,9 years,1
42282,C, 36 months,RENT,10+ years,1
42283,F, 60 months,RENT,7 years,-1
42284,C, 60 months,MORTGAGE,10+ years,1
42285,A, 36 months,RENT,6 years,1
42286,D, 60 months,RENT,5 years,-1
42287,D, 60 months,MORTGAGE,10+ years,1
42288,D, 36 months,MORTGAGE,10+ years,1
42289,D, 60 months,RENT,10+ years,-1
42290,C, 36 months,MORTGAGE,7 years,1
42291,D, 60 months,MORTGAGE,4 years,-1
42292,B, 36 months,RENT,3 years,-1
42293,C, 36 months,RENT,< 1 year,1
42294,A, 36 months,MORTGAGE,4 years,1
42295,D, 36 months,RENT,5 years,-1
42296,B, 36 months,MORTGAGE,10+ years,-1
42297,B, 36 months,MORTGAGE,8 years,1
42298,D, 36 months,MORTGAGE,2 years,-1
42299,C, 36 months,RENT,7 years,-1
42300,E, 60 months,MORTGAGE,7 years,-1
42301,C, 36 months,RENT,4 years,-1
42302,C, 36 months,MORTGAGE,10+ years,1
42303,B, 36 months,MORTGAGE,10+ years,1
42304,C, 36 months,RENT,< 1 year,1
42305,A, 36 months,MORTGAGE,2 years,1
42306,C, 36 months,RENT,10+ years,-1
42307,B, 36 months,RENT,2 years,1
42308,B, 36 months,RENT,1 year,-1
42309,D, 36 months,RENT,10+ years,-1
42310,C, 36 months,MORTGAGE,7 years,-1
42311,B, 36 months,MORTGAGE,7 years,1
42312,C, 60 months,MORTGAGE,10+ years,1
42313,C, 36 months,MORTGAGE,,-1
42314,E, 60 months,MORTGAGE,7 years,-1
42315,D, 36 months,MORTGAGE,4 years,-1
42316,E, 60 months,OWN,6 years,-1
42317,E, 36 months,RENT,10+ years,-1
42318,E, 60 months,RENT,< 1 year,1
42319,A, 36 months,RENT,4 years,1
42320,D, 36 months,RENT,3 years,-1
42321,D, 36 months,RENT,10+ years,-1
42322,E, 60 months,MORTGAGE,5 years,-1
42323,B, 36 months,MORTGAGE,5 years,1
42324,B, 36 months,RENT,1 year,1
42325,C, 36 months,RENT,5 years,1
42326,B, 36 months,RENT,10+ years,-1
42327,B, 36 months,MORTGAGE,5 years,1
42328,A, 36 months,MORTGAGE,10+ years,1
42329,D, 60 months,MORTGAGE,10+ years,-1
42330,C, 36 months,MORTGAGE,9 years,-1
42331,B, 36 months,RENT,5 years,1
42332,E, 60 months,MORTGAGE,10+ years,-1
42333,E, 60 months,MORTGAGE,7 years,-1
42334,D, 36 months,RENT,10+ years,-1
42335,C, 36 months,RENT,4 years,1
42336,C, 36 months,RENT,2 years,-1
42337,C, 60 months,MORTGAGE,10+ years,-1
42338,D, 36 months,RENT,10+ years,-1
42339,B, 36 months,RENT,< 1 year,-1
42340,D, 60 months,MORTGAGE,1 year,1
42341,E, 60 months,MORTGAGE,4 years,-1
42342,A, 36 months,MORTGAGE,10+ years,1
42343,B, 36 months,MORTGAGE,4 years,-1
42344,F, 60 months,MORTGAGE,10+ years,-1
42345,G, 60 months,MORTGAGE,,-1
42346,C, 36 months,MORTGAGE,10+ years,-1
42347,F, 60 months,OWN,4 years,-1
42348,D, 36 months,OWN,,-1
42349,G, 60 months,MORTGAGE,7 years,-1
42350,C, 36 months,OWN,10+ years,-1
42351,A, 36 months,MORTGAGE,5 years,1
42352,B, 60 months,MORTGAGE,10+ years,-1
42353,C, 36 months,RENT,< 1 year,-1
42354,C, 36 months,RENT,1 year,-1
42355,C, 60 months,MORTGAGE,4 years,1
42356,D, 36 months,RENT,< 1 year,1
42357,E, 60 months,RENT,4 years,1
42358,D, 36 months,RENT,9 years,1
42359,C, 36 months,MORTGAGE,,-1
42360,C, 36 months,RENT,3 years,1
42361,B, 36 months,MORTGAGE,2 years,1
42362,A, 36 months,RENT,7 years,1
42363,D, 60 months,MORTGAGE,10+ years,-1
42364,E, 60 months,RENT,9 years,-1
42365,B, 36 months,MORTGAGE,8 years,-1
42366,D, 36 months,MORTGAGE,10+ years,-1
42367,C, 60 months,MORTGAGE,8 years,-1
42368,C, 36 months,MORTGAGE,10+ years,1
42369,D, 60 months,MORTGAGE,9 years,1
42370,C, 36 months,OWN,< 1 year,-1
42371,E, 60 months,RENT,7 years,1
42372,C, 36 months,RENT,10+ years,-1
42373,D, 36 months,RENT,< 1 year,1
42374,E, 60 months,MORTGAGE,1 year,-1
42375,E, 60 months,MORTGAGE,3 years,-1
42376,C, 36 months,MORTGAGE,6 years,1
42377,C, 60 months,MORTGAGE,10+ years,-1
42378,C, 60 months,RENT,1 year,-1
42379,C, 36 months,MORTGAGE,8 years,1
42380,C, 36 months,RENT,1 year,1
42381,D, 36 months,MORTGAGE,2 years,-1
42382,D, 36 months,RENT,6 years,-1
42383,B, 36 months,RENT,< 1 year,1
42384,E, 60 months,RENT,6 years,-1
42385,B, 36 months,RENT,< 1 year,1
42386,C, 36 months,RENT,1 year,1
42387,D, 36 months,MORTGAGE,3 years,-1
42388,C, 36 months,RENT,7 years,1
42389,B, 36 months,MORTGAGE,10+ years,1
42390,D, 60 months,RENT,8 years,1
42391,C, 36 months,RENT,3 years,-1
42392,B, 36 months,RENT,2 years,-1
42393,B, 60 months,OWN,< 1 year,1
42394,B, 36 months,MORTGAGE,10+ years,1
42395,C, 60 months,RENT,10+ years,1
42396,A, 36 months,MORTGAGE,< 1 year,1
42397,F, 60 months,OWN,1 year,1
42398,B, 36 months,RENT,6 years,-1
42399,A, 36 months,RENT,1 year,1
42400,A, 60 months,RENT,5 years,1
42401,B, 36 months,MORTGAGE,5 years,1
42402,C, 60 months,MORTGAGE,3 years,-1
42403,B, 36 months,RENT,9 years,-1
42404,B, 36 months,OWN,10+ years,1
42405,D, 36 months,OWN,4 years,1
42406,A, 36 months,MORTGAGE,2 years,1
42407,A, 36 months,MORTGAGE,4 years,1
42408,D, 36 months,MORTGAGE,3 years,1
42409,B, 36 months,RENT,,1
42410,F, 60 months,RENT,7 years,-1
42411,E, 60 months,RENT,1 year,-1
42412,C, 36 months,OWN,10+ years,1
42413,B, 36 months,RENT,10+ years,1
42414,B, 36 months,RENT,2 years,-1
42415,B, 36 months,MORTGAGE,10+ years,1
42416,B, 36 months,MORTGAGE,10+ years,1
42417,B, 36 months,RENT,1 year,-1
42418,B, 60 months,MORTGAGE,5 years,1
42419,B, 36 months,MORTGAGE,8 years,1
42420,A, 36 months,RENT,2 years,1
42421,A, 36 months,MORTGAGE,9 years,-1
42422,C, 36 months,MORTGAGE,10+ years,1
42423,C, 36 months,OWN,10+ years,-1
42424,A, 36 months,MORTGAGE,3 years,1
42425,A, 36 months,RENT,4 years,1
42426,C, 36 months,RENT,5 years,1
42427,C, 36 months,MORTGAGE,5 years,-1
42428,C, 36 months,MORTGAGE,,-1
42429,D, 36 months,MORTGAGE,1 year,-1
42430,C, 36 months,RENT,1 year,1
42431,D, 60 months,RENT,4 years,1
42432,C, 60 months,MORTGAGE,10+ years,1
42433,B, 36 months,RENT,6 years,1
42434,B, 36 months,MORTGAGE,3 years,1
42435,C, 60 months,MORTGAGE,10+ years,1
42436,C, 60 months,MORTGAGE,10+ years,-1
42437,E, 36 months,MORTGAGE,10+ years,1
42438,A, 36 months,RENT,< 1 year,1
42439,C, 36 months,RENT,10+ years,1
42440,E, 36 months,RENT,10+ years,-1
42441,E, 60 months,MORTGAGE,10+ years,-1
42442,B, 36 months,MORTGAGE,< 1 year,-1
42443,C, 36 months,RENT,10+ years,-1
42444,F, 60 months,RENT,7 years,-1
42445,A, 36 months,MORTGAGE,2 years,1
42446,C, 36 months,RENT,6 years,-1
42447,F, 36 months,RENT,3 years,1
42448,E, 60 months,RENT,10+ years,1
42449,B, 36 months,RENT,6 years,1
42450,C, 36 months,OWN,< 1 year,-1
42451,D, 36 months,RENT,2 years,1
42452,E, 60 months,MORTGAGE,10+ years,1
42453,B, 36 months,MORTGAGE,4 years,1
42454,B, 36 months,MORTGAGE,10+ years,1
42455,B, 36 months,MORTGAGE,2 years,1
42456,C, 60 months,MORTGAGE,< 1 year,-1
42457,B, 36 months,MORTGAGE,10+ years,-1
42458,B, 36 months,MORTGAGE,8 years,1
42459,D, 36 months,MORTGAGE,9 years,-1
42460,F, 36 months,RENT,3 years,-1
42461,D, 36 months,RENT,10+ years,1
42462,F, 60 months,RENT,,-1
42463,C, 36 months,MORTGAGE,,-1
42464,B, 36 months,RENT,2 years,-1
42465,B, 36 months,RENT,5 years,-1
42466,C, 36 months,RENT,10+ years,-1
42467,D, 36 months,MORTGAGE,10+ years,-1
42468,A, 36 months,MORTGAGE,4 years,1
42469,B, 36 months,RENT,,-1
42470,B, 36 months,MORTGAGE,10+ years,1
42471,E, 36 months,RENT,,-1
42472,B, 36 months,MORTGAGE,10+ years,1
42473,B, 60 months,MORTGAGE,10+ years,-1
42474,C, 36 months,MORTGAGE,7 years,1
42475,C, 36 months,OWN,10+ years,1
42476,B, 36 months,MORTGAGE,10+ years,-1
42477,C, 36 months,RENT,2 years,1
42478,B, 36 months,MORTGAGE,1 year,1
42479,A, 36 months,RENT,2 years,1
42480,G, 60 months,RENT,10+ years,-1
42481,F, 60 months,OWN,10+ years,-1
42482,B, 36 months,MORTGAGE,6 years,1
42483,D, 36 months,MORTGAGE,10+ years,-1
42484,B, 36 months,MORTGAGE,1 year,1
42485,F, 60 months,MORTGAGE,10+ years,1
42486,C, 36 months,RENT,4 years,1
42487,A, 36 months,MORTGAGE,< 1 year,1
42488,F, 60 months,RENT,10+ years,-1
42489,C, 36 months,MORTGAGE,10+ years,1
42490,C, 36 months,RENT,4 years,-1
42491,D, 36 months,OWN,5 years,-1
42492,C, 36 months,RENT,1 year,1
42493,B, 36 months,MORTGAGE,3 years,1
42494,F, 60 months,MORTGAGE,8 years,-1
42495,C, 60 months,MORTGAGE,10+ years,-1
42496,B, 36 months,MORTGAGE,3 years,-1
42497,C, 36 months,OWN,2 years,-1
42498,D, 60 months,MORTGAGE,9 years,-1
42499,E, 60 months,RENT,10+ years,1
42500,F, 60 months,OWN,10+ years,-1
42501,C, 36 months,RENT,8 years,1
42502,B, 36 months,OWN,,-1
42503,E, 60 months,RENT,10+ years,1
42504,E, 60 months,RENT,< 1 year,-1
42505,D, 36 months,OWN,10+ years,1
42506,A, 36 months,RENT,1 year,1
42507,D, 36 months,MORTGAGE,5 years,-1
42508,B, 36 months,RENT,10+ years,-1
42509,A, 36 months,MORTGAGE,5 years,-1
42510,B, 60 months,MORTGAGE,10+ years,-1
42511,C, 36 months,RENT,< 1 year,1
42512,A, 36 months,MORTGAGE,< 1 year,1
42513,E, 60 months,MORTGAGE,10+ years,-1
42514,C, 36 months,MORTGAGE,10+ years,-1
42515,B, 36 months,RENT,10+ years,1
42516,B, 60 months,MORTGAGE,8 years,-1
42517,C, 60 months,RENT,< 1 year,-1
42518,F, 60 months,MORTGAGE,4 years,-1
42519,A, 60 months,MORTGAGE,10+ years,1
42520,D, 36 months,RENT,3 years,-1
42521,E, 60 months,MORTGAGE,10+ years,-1
42522,D, 60 months,MORTGAGE,2 years,-1
42523,B, 36 months,MORTGAGE,10+ years,1
42524,C, 60 months,MORTGAGE,8 years,-1
42525,D, 36 months,RENT,10+ years,-1
42526,F, 60 months,RENT,4 years,-1
42527,B, 36 months,RENT,10+ years,-1
42528,F, 60 months,MORTGAGE,7 years,1
42529,E, 60 months,RENT,< 1 year,-1
42530,D, 36 months,MORTGAGE,10+ years,-1
42531,A, 36 months,MORTGAGE,10+ years,1
42532,A, 36 months,RENT,2 years,1
42533,E, 36 months,MORTGAGE,3 years,1
42534,G, 60 months,RENT,10+ years,-1
42535,C, 36 months,RENT,< 1 year,1
42536,D, 36 months,RENT,10+ years,1
42537,B, 36 months,MORTGAGE,5 years,1
42538,A, 36 months,MORTGAGE,7 years,-1
42539,F, 60 months,MORTGAGE,7 years,-1
42540,B, 36 months,MORTGAGE,5 years,-1
42541,A, 36 months,MORTGAGE,5 years,-1
42542,B, 36 months,MORTGAGE,10+ years,1
42543,B, 36 months,RENT,< 1 year,1
42544,D, 60 months,RENT,9 years,-1
42545,A, 36 months,MORTGAGE,2 years,-1
42546,D, 36 months,MORTGAGE,4 years,-1
42547,B, 36 months,RENT,7 years,-1
42548,D, 36 months,MORTGAGE,2 years,1
42549,G, 60 months,MORTGAGE,10+ years,-1
42550,B, 36 months,RENT,4 years,1
42551,E, 60 months,RENT,4 years,-1
42552,C, 36 months,RENT,< 1 year,-1
42553,D, 60 months,MORTGAGE,7 years,-1
42554,C, 36 months,MORTGAGE,5 years,-1
42555,E, 36 months,RENT,10+ years,1
42556,C, 36 months,MORTGAGE,< 1 year,1
42557,F, 60 months,MORTGAGE,10+ years,-1
42558,C, 60 months,MORTGAGE,10+ years,-1
42559,C, 36 months,RENT,5 years,1
42560,C, 36 months,RENT,,1
42561,B, 36 months,RENT,8 years,1
42562,B, 60 months,MORTGAGE,6 years,-1
42563,B, 36 months,MORTGAGE,10+ years,1
42564,C, 36 months,MORTGAGE,10+ years,1
42565,E, 60 months,MORTGAGE,1 year,-1
42566,B, 36 months,RENT,3 years,1
42567,E, 36 months,RENT,10+ years,1
42568,D, 36 months,MORTGAGE,5 years,-1
42569,B, 36 months,MORTGAGE,6 years,-1
42570,B, 36 months,RENT,6 years,-1
42571,B, 36 months,MORTGAGE,10+ years,1
42572,B, 36 months,RENT,10+ years,1
42573,D, 60 months,RENT,10+ years,-1
42574,C, 36 months,MORTGAGE,7 years,1
42575,C, 36 months,RENT,7 years,1
42576,B, 36 months,MORTGAGE,7 years,1
42577,C, 36 months,MORTGAGE,4 years,-1
42578,C, 36 months,RENT,4 years,1
42579,D, 36 months,MORTGAGE,10+ years,1
42580,B, 60 months,MORTGAGE,6 years,1
42581,B, 36 months,RENT,6 years,1
42582,E, 60 months,MORTGAGE,10+ years,-1
42583,E, 60 months,MORTGAGE,10+ years,-1
42584,B, 36 months,RENT,3 years,1
42585,A, 36 months,MORTGAGE,2 years,1
42586,E, 60 months,RENT,7 years,1
42587,E, 60 months,RENT,2 years,-1
42588,C, 36 months,MORTGAGE,4 years,-1
42589,E, 36 months,OWN,9 years,1
42590,C, 36 months,RENT,4 years,1
42591,C, 36 months,RENT,6 years,-1
42592,A, 36 months,MORTGAGE,1 year,1
42593,D, 60 months,RENT,2 years,1
42594,B, 36 months,RENT,2 years,-1
42595,E, 36 months,MORTGAGE,6 years,-1
42596,C, 36 months,RENT,4 years,-1
42597,B, 36 months,OWN,8 years,1
42598,C, 36 months,RENT,10+ years,-1
42599,A, 36 months,RENT,5 years,1
42600,A, 36 months,MORTGAGE,8 years,1
42601,B, 36 months,MORTGAGE,< 1 year,-1
42602,A, 36 months,MORTGAGE,4 years,1
42603,C, 36 months,RENT,7 years,1
42604,B, 36 months,RENT,3 years,1
42605,A, 36 months,RENT,< 1 year,1
42606,E, 60 months,MORTGAGE,4 years,-1
42607,B, 36 months,OWN,3 years,1
42608,C, 36 months,RENT,10+ years,1
42609,A, 36 months,RENT,1 year,1
42610,F, 36 months,MORTGAGE,8 years,-1
42611,C, 36 months,MORTGAGE,7 years,1
42612,G, 60 months,MORTGAGE,4 years,-1
42613,A, 36 months,RENT,2 years,1
42614,D, 36 months,RENT,2 years,1
42615,B, 36 months,MORTGAGE,9 years,1
42616,C, 36 months,MORTGAGE,3 years,-1
42617,B, 60 months,MORTGAGE,9 years,1
42618,D, 60 months,RENT,2 years,-1
42619,D, 36 months,RENT,3 years,-1
42620,B, 36 months,MORTGAGE,2 years,1
42621,F, 60 months,RENT,10+ years,-1
42622,B, 36 months,MORTGAGE,10+ years,-1
42623,D, 36 months,RENT,2 years,-1
42624,F, 60 months,MORTGAGE,9 years,-1
42625,C, 36 months,RENT,5 years,-1
42626,B, 36 months,RENT,7 years,-1
42627,C, 60 months,MORTGAGE,10+ years,1
42628,A, 36 months,RENT,< 1 year,1
42629,D, 36 months,OWN,2 years,-1
42630,D, 36 months,RENT,10+ years,1
42631,B, 60 months,MORTGAGE,10+ years,-1
42632,E, 60 months,MORTGAGE,10+ years,-1
42633,F, 60 months,RENT,5 years,-1
42634,B, 36 months,OWN,2 years,1
42635,C, 36 months,RENT,1 year,1
42636,E, 60 months,RENT,< 1 year,-1
42637,B, 36 months,MORTGAGE,10+ years,-1
42638,C, 36 months,MORTGAGE,9 years,-1
42639,A, 36 months,RENT,8 years,1
42640,C, 60 months,RENT,,1
42641,E, 60 months,MORTGAGE,3 years,-1
42642,D, 60 months,RENT,3 years,1
42643,B, 36 months,RENT,10+ years,-1
42644,B, 36 months,MORTGAGE,10+ years,1
42645,D, 36 months,MORTGAGE,10+ years,-1
42646,C, 36 months,RENT,5 years,-1
42647,C, 60 months,MORTGAGE,5 years,1
42648,E, 36 months,MORTGAGE,9 years,-1
42649,B, 36 months,RENT,6 years,1
42650,B, 36 months,RENT,3 years,-1
42651,E, 60 months,OWN,4 years,-1
42652,B, 36 months,RENT,3 years,1
42653,C, 36 months,MORTGAGE,10+ years,1
42654,C, 60 months,MORTGAGE,10+ years,1
42655,A, 36 months,MORTGAGE,4 years,1
42656,C, 36 months,RENT,8 years,-1
42657,C, 60 months,MORTGAGE,< 1 year,-1
42658,A, 36 months,MORTGAGE,8 years,-1
42659,C, 36 months,OWN,< 1 year,-1
42660,C, 60 months,MORTGAGE,3 years,1
42661,C, 36 months,RENT,9 years,-1
42662,E, 36 months,MORTGAGE,10+ years,1
42663,B, 36 months,MORTGAGE,,-1
42664,D, 36 months,MORTGAGE,1 year,-1
42665,C, 60 months,RENT,8 years,-1
42666,B, 36 months,RENT,7 years,1
42667,G, 60 months,OWN,3 years,-1
42668,B, 36 months,MORTGAGE,10+ years,1
42669,A, 36 months,RENT,2 years,1
42670,B, 36 months,RENT,< 1 year,1
42671,F, 60 months,MORTGAGE,2 years,1
42672,C, 60 months,MORTGAGE,10+ years,1
42673,C, 36 months,MORTGAGE,8 years,1
42674,D, 36 months,RENT,1 year,1
42675,C, 36 months,RENT,5 years,1
42676,D, 36 months,RENT,5 years,1
42677,B, 36 months,MORTGAGE,6 years,1
42678,D, 36 months,RENT,< 1 year,-1
42679,B, 36 months,MORTGAGE,7 years,1
42680,B, 36 months,MORTGAGE,1 year,1
42681,E, 36 months,RENT,2 years,1
42682,A, 36 months,RENT,5 years,1
42683,C, 36 months,MORTGAGE,6 years,-1
42684,F, 60 months,RENT,4 years,-1
42685,A, 60 months,RENT,,-1
42686,E, 60 months,RENT,4 years,-1
42687,C, 36 months,RENT,1 year,1
42688,D, 60 months,RENT,6 years,1
42689,E, 36 months,RENT,1 year,-1
42690,B, 36 months,OWN,4 years,1
42691,D, 60 months,RENT,< 1 year,-1
42692,D, 60 months,OWN,,1
42693,A, 36 months,MORTGAGE,10+ years,1
42694,D, 60 months,RENT,8 years,-1
42695,B, 36 months,MORTGAGE,,1
42696,E, 36 months,RENT,3 years,1
42697,C, 36 months,MORTGAGE,9 years,1
42698,C, 36 months,RENT,< 1 year,-1
42699,E, 60 months,MORTGAGE,10+ years,-1
42700,B, 36 months,MORTGAGE,10+ years,-1
42701,D, 60 months,MORTGAGE,10+ years,-1
42702,B, 36 months,RENT,1 year,1
42703,B, 36 months,MORTGAGE,3 years,-1
42704,D, 36 months,MORTGAGE,< 1 year,1
42705,A, 60 months,MORTGAGE,2 years,-1
42706,B, 36 months,MORTGAGE,10+ years,1
42707,C, 60 months,MORTGAGE,10+ years,1
42708,D, 36 months,MORTGAGE,10+ years,1
42709,B, 60 months,RENT,7 years,-1
42710,B, 36 months,MORTGAGE,,1
42711,B, 36 months,RENT,2 years,1
42712,B, 36 months,RENT,2 years,1
42713,E, 60 months,RENT,9 years,1
42714,D, 36 months,RENT,5 years,-1
42715,B, 36 months,MORTGAGE,10+ years,1
42716,A, 36 months,MORTGAGE,10+ years,1
42717,B, 36 months,RENT,3 years,1
42718,B, 60 months,MORTGAGE,2 years,-1
42719,B, 60 months,OWN,,1
42720,B, 36 months,MORTGAGE,2 years,-1
42721,B, 36 months,RENT,5 years,1
42722,B, 36 months,RENT,< 1 year,-1
42723,C, 36 months,RENT,1 year,1
42724,B, 36 months,MORTGAGE,6 years,-1
42725,D, 36 months,RENT,4 years,-1
42726,A, 36 months,MORTGAGE,4 years,-1
42727,B, 60 months,RENT,7 years,-1
42728,A, 36 months,MORTGAGE,4 years,1
42729,B, 36 months,MORTGAGE,10+ years,-1
42730,D, 36 months,RENT,7 years,-1
42731,C, 36 months,RENT,2 years,1
42732,B, 36 months,MORTGAGE,5 years,-1
42733,B, 36 months,MORTGAGE,10+ years,-1
42734,E, 36 months,RENT,< 1 year,-1
42735,D, 60 months,RENT,10+ years,-1
42736,B, 36 months,RENT,4 years,-1
42737,D, 60 months,RENT,,1
42738,E, 60 months,MORTGAGE,10+ years,1
42739,D, 60 months,MORTGAGE,3 years,-1
42740,D, 36 months,OWN,6 years,1
42741,A, 36 months,MORTGAGE,6 years,1
42742,B, 36 months,RENT,10+ years,-1
42743,D, 60 months,RENT,4 years,-1
42744,B, 36 months,MORTGAGE,2 years,-1
42745,A, 36 months,OWN,,1
42746,E, 60 months,MORTGAGE,1 year,-1
42747,D, 36 months,MORTGAGE,< 1 year,1
42748,C, 36 months,RENT,5 years,1
42749,E, 60 months,MORTGAGE,10+ years,-1
42750,E, 60 months,RENT,6 years,1
42751,C, 36 months,MORTGAGE,5 years,1
42752,C, 36 months,RENT,< 1 year,1
42753,E, 36 months,RENT,< 1 year,-1
42754,B, 36 months,MORTGAGE,2 years,-1
42755,D, 36 months,RENT,10+ years,-1
42756,C, 36 months,MORTGAGE,2 years,-1
42757,B, 36 months,MORTGAGE,10+ years,-1
42758,B, 36 months,OWN,1 year,-1
42759,B, 36 months,MORTGAGE,7 years,-1
42760,A, 36 months,RENT,6 years,1
42761,C, 36 months,MORTGAGE,10+ years,1
42762,B, 36 months,MORTGAGE,9 years,1
42763,D, 36 months,RENT,,-1
42764,E, 60 months,MORTGAGE,6 years,-1
42765,C, 36 months,RENT,2 years,-1
42766,C, 36 months,RENT,3 years,1
42767,C, 60 months,MORTGAGE,10+ years,-1
42768,A, 36 months,RENT,1 year,1
42769,E, 60 months,RENT,1 year,-1
42770,D, 36 months,OWN,10+ years,1
42771,A, 36 months,MORTGAGE,10+ years,-1
42772,A, 36 months,RENT,10+ years,-1
42773,D, 36 months,MORTGAGE,10+ years,1
42774,A, 36 months,OWN,6 years,1
42775,G, 60 months,RENT,2 years,-1
